time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-31T20:02:07.560Z,19.4063339,-155.2799988,2.03,1.72,md,13,76,0.005736,0.11,hv,hv61962591,2017-10-31T20:05:05.460Z,"5km WSW of Volcano, Hawaii",earthquake,0.21,0.33,0.42,8,automatic,hv,hv
2017-10-31T19:59:22.260Z,-21.7405,168.8975,4.25,4.3,mb,,183,0.847,1.04,us,us2000bkz4,2018-01-24T01:25:02.040Z,"107km ESE of Tadine, New Caledonia",earthquake,7.1,8,0.216,6,reviewed,us,us
2017-10-31T19:48:21.750Z,38.7944984,-122.8068314,2.82,0.52,md,9,197,0.01484,0.03,nc,nc72916746,2017-10-31T20:03:04.820Z,"4km WNW of The Geysers, California",earthquake,0.68,1.19,0.02,2,automatic,nc,nc
2017-10-31T19:46:51.320Z,-21.6342,168.872,17.51,4.9,mwr,,68,0.798,0.77,us,us1000az9i,2018-01-24T01:25:02.040Z,"102km E of Tadine, New Caledonia",earthquake,5.7,4.5,0.086,13,reviewed,us,us
2017-10-31T19:44:30.399Z,38.3996,-118.8891,10.4,0.7,ml,5,253.37,0.113,0.1259,nn,nn00611079,2017-10-31T23:27:41.792Z,"26km WSW of Hawthorne, Nevada",earthquake,,4.4,0.29,3,reviewed,nn,nn
2017-10-31T19:41:16.320Z,-21.7581,168.8981,7.99,5.3,mww,,63,0.853,0.95,us,us1000az9c,2018-01-24T01:25:02.040Z,"107km ESE of Tadine, New Caledonia",earthquake,5.1,3.1,0.06,27,reviewed,us,us
2017-10-31T19:41:06.080Z,44.369,147.6532,86.69,4.4,mb,,162,3.644,0.91,us,us2000bkzd,2018-01-24T01:25:02.040Z,"97km NE of Shikotan, Russia",earthquake,8.1,9.2,0.095,32,reviewed,us,us
2017-10-31T19:34:01.730Z,-21.7634,168.997,10,4.3,mb,,205,0.942,0.88,us,us2000bkzz,2018-01-24T01:25:02.040Z,"117km ESE of Tadine, New Caledonia",earthquake,3.6,1.9,0.154,13,reviewed,us,us
2017-10-31T19:29:56.950Z,34.0968333,-116.8733333,11.22,1.12,ml,48,69,0.05201,0.13,ci,ci38034184,2017-10-31T20:31:15.900Z,"17km SSE of Big Bear Lake, CA",earthquake,0.17,0.33,0.113,20,reviewed,ci,ci
2017-10-31T19:28:11.950Z,34.1183333,-118.488,9.52,1.02,ml,20,82,0.02991,0.15,ci,ci38034176,2017-10-31T20:33:06.467Z,"5km SSE of Encino, CA",earthquake,0.28,0.48,0.121,12,reviewed,ci,ci
2017-10-31T19:24:33.100Z,-4.867,134.0954,33.26,4.3,mb,,113,2.671,0.92,us,us1000az9t,2018-01-24T01:25:02.040Z,"100km N of Dobo, Indonesia",earthquake,8.1,6.2,0.168,13,reviewed,us,us
2017-10-31T19:23:17.518Z,36.6571,-116.2698,6.9,-0.2,ml,9,105.1,0.057,0.107,nn,nn00611071,2017-10-31T22:13:59.134Z,"51km ESE of Beatty, Nevada",earthquake,,1.8,0.25,4,reviewed,nn,nn
2017-10-31T19:22:16.762Z,36.6569,-116.2715,6.2,0.1,ml,14,93.56,0.055,0.1106,nn,nn00611048,2017-10-31T22:04:31.770Z,"51km ESE of Beatty, Nevada",earthquake,,1.1,0.22,9,reviewed,nn,nn
2017-10-31T19:22:09.090Z,-21.6722,168.8248,15.93,5.4,mww,,38,0.763,1.01,us,us1000az8y,2018-01-24T01:25:02.040Z,"98km E of Tadine, New Caledonia",earthquake,5.8,3.1,0.068,21,reviewed,us,us
2017-10-31T19:21:37.663Z,36.6575,-116.274,6.3,0.3,ml,15,92.81,0.054,0.1274,nn,nn00611047,2017-10-31T21:55:04.904Z,"51km ESE of Beatty, Nevada",earthquake,,1.1,0.25,6,reviewed,nn,nn
2017-10-31T19:19:22.520Z,33.8528333,-117.826,7.54,2.06,ml,79,27,0.03894,0.21,ci,ci38034168,2017-11-01T06:44:52.820Z,"4km SSW of Yorba Linda, CA",earthquake,0.17,0.39,0.153,20,reviewed,ci,ci
2017-10-31T19:12:06.425Z,51.2476,-174.9686,20.3,2.3,ml,,,,0.24,ak,ak17132264,2017-11-03T10:14:39.217Z,"118km SSW of Atka, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2017-10-31T19:03:42.454Z,59.8255,-153.2003,108.8,1.7,ml,,,,0.35,ak,ak17158649,2017-11-03T10:14:38.825Z,"77km W of Anchor Point, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-10-31T18:56:33.460Z,-3.8555,127.7633,10,4.4,mb,,74,4.573,1.39,us,us1000az8h,2018-01-24T01:25:01.040Z,"44km WSW of Amahusu, Indonesia",earthquake,4.4,1.9,0.104,27,reviewed,us,us
2017-10-31T18:56:25.560Z,19.1604996,-155.4758301,29.51,1.79,md,29,161,0.01392,0.14,hv,hv61962541,2017-10-31T18:59:37.240Z,"4km S of Pahala, Hawaii",earthquake,0.95,0.88,0.19,3,automatic,hv,hv
2017-10-31T18:53:46.960Z,38.7898331,-122.7649994,1.54,1.19,md,14,92,0.01822,0.02,nc,nc72916731,2017-10-31T22:03:03.050Z,"1km NNW of The Geysers, California",earthquake,0.27,0.5,0.05,6,automatic,nc,nc
2017-10-31T18:47:57.090Z,33.9848333,-116.9281667,6.27,0.88,ml,25,103,0.06484,0.11,ci,ci38034144,2017-10-31T20:07:01.032Z,"8km NE of Beaumont, CA",earthquake,0.2,0.51,0.163,21,reviewed,ci,ci
2017-10-31T18:44:33.636Z,61.6084,-150.1079,8.9,0.8,ml,,,,0.47,ak,ak17132244,2017-11-03T10:14:38.448Z,"12km NW of Big Lake, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-10-31T18:40:27.200Z,37.5998333,-118.9555,0.11,0.38,md,17,174,0.01758,0.04,nc,nc72916726,2017-10-31T21:34:02.993Z,"5km SSE of Mammoth Lakes, California",earthquake,0.33,31.61,0.259,14,reviewed,nc,nc
2017-10-31T18:39:42.514Z,60.7095,-146.7182,16.6,1.5,ml,,,,0.68,ak,ak17132240,2017-11-03T10:14:38.020Z,"51km SSW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-10-31T18:34:37.910Z,33.8568333,-117.8365,5.14,1.64,ml,13,179,0.04832,0.16,ci,ci38034120,2017-11-01T02:37:01.764Z,"4km ESE of Placentia, CA",earthquake,0.42,0.52,0.168,9,reviewed,ci,ci
2017-10-31T18:34:27.520Z,33.8558333,-117.8276667,5.78,1.62,ml,41,87,0.04191,0.16,ci,ci38034128,2017-10-31T20:02:39.017Z,"4km SSW of Yorba Linda, CA",earthquake,0.23,0.41,0.115,19,reviewed,ci,ci
